x,y,z,u
1.49146318, -3.14159265, -0.84586219, 0.7320382545523847
1.5549297, -3.14159265, -0.8872011, 0.7056849012920645
1.61839622, -3.14159265, -0.92348804, 0.680561310045521
1.68186273, -3.14159265, -0.95379106, 0.6592408335817335
1.74532925, -3.14159265, -0.97718594, 0.6428543651974729
1.80879577, -3.14159265, -0.99277559, 0.6291373801015134
1.87226229, -3.14159265, -0.99971124, 0.6157109673425861
1.93572881, -3.14159265, -0.99721502, 0.6028882862730919
1.99919533, -3.14159265, -0.98460358, 0.5855831664650624
2.06266184, -3.14159265, -0.96131202, 0.5605270516428879
2.12612836, -3.14159265, -0.92691777, 0.5291463010023674
2.18959488, -3.14159265, -0.88116341, 0.49182765625588337
2.2530614, -3.14159265, -0.82397802, 0.4469458738982868
2.31652792, -3.14159265, -0.7554961, 0.40410044270788353
2.37999443, -3.14159265, -0.67607325, 0.3549257545301225
2.44346095, -3.14159265, -0.58629806, 0.30488814336771297
2.50692747, -3.14159265, -0.48699927, 0.2517371414060087
2.57039399, -3.14159265, -0.37924767, 0.20917512167545135
2.63386051, -3.14159265, -0.26435208, 0.17239416581701725
2.69732703, -3.14159265, -0.14384917, 0.13035570577254824
2.76079354, -3.14159265, -0.01948656, 0.10264524140560345
2.82426006, -3.14159265, 0.10680069, 0.07105793018213011
2.88772658, -3.14159265, 0.23292022, 0.0513241664467299
2.9511931, -3.14159265, 0.35665888, 0.03385181171483587
3.01465962, -3.14159265, 0.4757251, 0.022935486642226346
3.07812614, -3.14159265, 0.58779637, 0.012493546492167815
3.14159265, -3.14159265, 0.69057098, 0.00495624437847229
-3.14159265, -3.07812614, 0.58779637, 0.012703596035391356
-3.07812614, -3.07812614, 0.47328184, 0.024009904212704828
-3.01465962, -3.07812614, 0.35141394, 0.03846972838695729
-2.9511931, -3.07812614, 0.22464723, 0.05555670292646661
-2.88772658, -3.07812614, 0.09541231, 0.08390451547720676
-2.82426006, -3.07812614, -0.03393621, 0.11048178824897886
-2.76079354, -3.07812614, -0.16116651, 0.1532199855683813
-2.69732703, -3.07812614, -0.28421019, 0.19355352183783253
-2.63386051, -3.07812614, -0.40119618, 0.24184804392189566
-2.57039399, -3.07812614, -0.51047754, 0.2955560470099526
-2.50692747, -3.07812614, -0.61065089, 0.3467941088034852
-2.44346095, -3.07812614, -0.70056881, 0.40532155132271247
-2.37999443, -3.07812614, -0.77934514, 0.45807022204190023
-2.31652792, -3.07812614, -0.84635387, 0.505982305453483
-2.2530614, -3.07812614, -0.90122204, 0.5525614067320525
-2.18959488, -3.07812614, -0.94381744, 0.5898247200569563
-2.12612836, -3.07812614, -0.97423184, 0.6197277801078178
-2.06266184, -3.07812614, -0.99276054, 0.6441281273005752
-1.99919533, -3.07812614, -0.99987915, 0.6618945685342429
-1.93572881, -3.07812614, -0.99621855, 0.6800990402548692
-1.87226229, -3.07812614, -0.98253853, 0.69933072297065
-1.80879577, -3.07812614, -0.95970131, 0.7220709887273602
-1.74532925, -3.07812614, -0.92864533, 0.7498586816716939
-1.68186273, -3.07812614, -0.89036002, 0.7848258051198325
-1.61839622, -3.07812614, -0.84586219, 0.8262762438407737
-1.5549297, -3.07812614, -0.7961743, 0.8700546156886346
-1.49146318, -3.07812614, -0.74230508, 0.9226609433038545
-1.42799666, -3.07812614, -0.6852327, 0.9754899592503505
-1.36453014, -3.07812614, -0.62589052, 1.0391935919179904
-1.30106362, -3.07812614, -0.56515569, 1.1071094353157906
-1.23759711, -3.07812614, -0.50384034, 1.1720381779933888
-1.17413059, -3.07812614, -0.44268541, 1.2494446056839814
-1.11066407, -3.07812614, -0.38235691, 1.325642289524
-1.04719755, -3.07812614, -0.32344436, 1.4038290223602963
-0.98373103, -3.07812614, -0.2664613, 1.478053945862187
-0.92026451, -3.07812614, -0.21184743, 1.5610244899358505
-0.856798, -3.07812614, -0.15997226, 1.6359547535129355
-0.79333148, -3.07812614, -0.11113992, 1.7172726850319269
-0.72986496, -3.07812614, -0.06559483, 1.790159626920787
-0.66639844, -3.07812614, -0.023528, 1.8597059343806632
-0.60293192, -3.07812614, 0.01491627, 1.9296390170046467
-0.53946541, -3.07812614, 0.04963351, 1.9907500988025144
-0.47599889, -3.07812614, 0.08055238, 2.0497006641604845
-0.41253237, -3.07812614, 0.107628, 2.100090179234678
-0.34906585, -3.07812614, 0.13083587, 2.145971998614719
-0.28559933, -3.07812614, 0.1501662, 2.183997074050677
-0.22213281, -3.07812614, 0.16561883, 2.214583276447754
-0.1586663, -3.07812614, 0.177199, 2.237824295299574
-0.09519978, -3.07812614, 0.18491378, 2.253643894413176
-0.03173326, -3.07812614, 0.18876938, 2.2615171339274065
0.03173326, -3.07812614, 0.18876938, 2.2615315148991972
0.09519978, -3.07812614, 0.18491378, 2.2536882255266932
0.1586663, -3.07812614, 0.177199, 2.2379118191279774
0.22213281, -3.07812614, 0.16561883, 2.2147229224143397
0.28559933, -3.07812614, 0.1501662, 2.183727127549817
0.34906585, -3.07812614, 0.13083587, 2.145463509930405
0.41253237, -3.07812614, 0.107628, 2.1005878105497757
0.47599889, -3.07812614, 0.08055238, 2.0500141626750454
0.53946541, -3.07812614, 0.04963351, 1.992255187754241
0.60293192, -3.07812614, 0.01491627, 1.9299140488748687
0.66639844, -3.07812614, -0.023528, 1.8621927357467092
0.72986496, -3.07812614, -0.06559483, 1.7911636953921177
0.79333148, -3.07812614, -0.11113992, 1.7163883906857103
0.856798, -3.07812614, -0.15997226, 1.6357517049762489
0.92026451, -3.07812614, -0.21184743, 1.5608682286734679
0.98373103, -3.07812614, -0.2664613, 1.477721818377266
1.04719755, -3.07812614, -0.32344436, 1.4030413723785677
1.11066407, -3.07812614, -0.38235691, 1.3211819689622195
1.17413059, -3.07812614, -0.44268541, 1.248676960568743
1.23759711, -3.07812614, -0.50384034, 1.178018576961053
1.30106362, -3.07812614, -0.56515569, 1.107163061874315
1.36453014, -3.07812614, -0.62589052, 1.0368317139221022
1.42799666, -3.07812614, -0.6852327, 0.9774523415686976
1.49146318, -3.07812614, -0.74230508, 0.9225522875534762
1.5549297, -3.07812614, -0.7961743, 0.8689093686131537
1.61839622, -3.07812614, -0.84586219, 0.824941750634547
1.68186273, -3.07812614, -0.89036002, 0.7846248350346909
1.74532925, -3.07812614, -0.92864533, 0.7500511871383879
